postal_code,lat_long
328001.0,Not Found
466486.0,Not Found
259977.0,"1.31127242377312,103.828132104727"
308099.0,Not Found
239972.0,Not Found
239973.0,Not Found
239977.0,"1.30251716129553,103.829469250792"
358461.0,"1.33075680697436,103.867230643479"
308323.0,"1.31906972390327,103.846101471001"
486992.0,"1.33799910827976,103.958083275484"
455225.0,"1.31350790003335,103.928148923304"
478926.0,"1.33781310073984,103.935679722167"
426341.0,"1.31442952129569,103.909113128686"
359968.0,Not Found
529595.0,"1.34972244708859,103.927836018905"
479267.0,"1.33753586880554,103.920651855815"
259947.0,"1.3092098108211,103.828263796407"
259955.0,"1.30951130453928,103.829219541905"
259945.0,"1.31042398715597,103.827913403265"
259949.0,"1.30958778399004,103.827607798009"
539796.0,"1.35408946131932,103.883013235951"
439827.0,"1.29881700010487,103.887872844083"
439827.0,"1.29881700010487,103.887872844083"
439829.0,"1.29890153862647,103.887151599437"
158748.0,"1.29094473172583,103.817000115258"
89394.0,Not Found
309946.0,"1.32085710118727,103.835201495824"
238307.0,"1.29425888278719,103.840800556526"
239669.0,"1.2953415799343,103.839844385683"
427317.0,"1.31490223556133,103.904709645973"
399116.0,"1.31013061106888,103.877075411974"
398026.0,"1.31431128029729,103.890714083323"
417660.0,"1.32885579565273,103.91325508249"
597590.0,"1.31743375883187,103.776776207263"
229741.0,"1.30692988560598,103.839716150584"
416825.0,"1.32117298606416,103.912052086589"
269257.0,"1.31930304897212,103.794618130751"
268614.0,"1.32132721333878,103.794116618836"
389468.0,"1.31357032036401,103.885616424065"
239319.0,"1.29551395924241,103.838907866844"
258859.0,"1.30888091521005,103.807669378659"
423423.0,"1.31002552147163,103.916028590992"
436883.0,"1.29843730060613,103.884408021083"
544804.0,"1.3809657561666,103.900820298646"
437360.0,Not Found
439192.0,"1.30971379542166,103.893813693492"
329949.0,"1.32222530186955,103.851774865079"
259985.0,"1.31297120500789,103.828102208138"
276525.0,Not Found
509732.0,"1.36087998880035,103.965482620501"
357741.0,"1.33924560642212,103.869770060845"
458950.0,"1.31186408450582,103.923826324456"
509725.0,"1.36073621566409,103.963299396559"
466608.0,"1.32027552345902,103.954833082378"
466519.0,"1.31474326765884,103.942302354429"
329731.0,"1.32297698121569,103.852811354547"
329714.0,"1.32213342822747,103.853199661872"
329191.0,Not Found
329972.0,Not Found
329802.0,"1.32572472557093,103.850395374025"
329727.0,"1.32281193728737,103.852026274201"
329505.0,"1.32532360161851,103.851776439038"
329683.0,"1.32095396089287,103.852301346749"
507079.0,"1.35887799120341,103.96852443877"
119906.0,Not Found
259792.0,"1.31451692746075,103.832206862263"
259802.0,"1.31490658738376,103.833656788561"
259801.0,"1.31521235387197,103.83198898784"
259882.0,"1.31585628957472,103.834009973852"
259797.0,Not Found
259811.0,"1.31711498557751,103.834350971597"
